C,time,w,Z,J,J_up,J_down
149.569973069705,2020-06-20T07:00:34.382Z,0.238063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
144.771977633029,2020-06-20T07:00:34.576Z,0.118063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
196.557985310114,2020-06-20T07:00:34.774Z,0.308063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
203.595969240685,2020-06-20T07:00:34.975Z,0.328063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
196.3460096526,2020-06-20T07:00:35.173Z,0.0880635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
192.999994932659,2020-06-20T07:00:35.376Z,0.108063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
161.030977466136,2020-06-20T07:00:35.577Z,0.108063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
198.941978825123,2020-06-20T07:00:35.773Z,-0.131936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
202.074979325802,2020-06-20T07:00:35.973Z,-0.671936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
204.05597172026,2020-06-20T07:00:36.173Z,0.498063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
199.059953543252,2020-06-20T07:00:36.373Z,-0.141936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
201.865978539019,2020-06-20T07:00:36.577Z,-0.311936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
203.0989790397,2020-06-20T07:00:36.773Z,-0.241936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
194.040977942974,2020-06-20T07:00:36.973Z,-0.771936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
192.644988745704,2020-06-20T07:00:37.173Z,-0.721936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
194.520979790716,2020-06-20T07:00:37.375Z,-0.761936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
198.740980327162,2020-06-20T07:00:37.573Z,-0.531936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
170.666979421168,2020-06-20T07:00:37.773Z,-0.331936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
163.654978372128,2020-06-20T07:00:37.973Z,-0.281936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
165.310978622465,2020-06-20T07:00:38.177Z,-0.391936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
162.730979528456,2020-06-20T07:00:38.373Z,-0.931936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
149.795965902824,2020-06-20T07:00:38.575Z,-0.381936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
148.812979468854,2020-06-20T07:00:38.773Z,0.338063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
150.175980207952,2020-06-20T07:00:38.973Z,0.608063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
