time,RH,wind_speed,wind_dir,H,LE,air_temperature
2020-06-26T14:00:00Z,37.0928,3.392115,12.001775,76.97705,93.47315,301.877
2020-06-26T15:00:00Z,34.52265,3.300215,16.14515,88.7307,118.3459,302.66
2020-06-26T16:00:00Z,38.1547,3.125345,35.46095,83.61985,109.688,301.484
2020-06-26T17:00:00Z,35.93335,2.17819,19.72165,15.333655,127.821,301.911
2020-06-26T18:00:00Z,36.0453,1.80234,181.619445,-17.076455,56.21915,302.068
2020-06-26T19:00:00Z,39.11095,1.262475,352.166,-15.80545,19.74515,301.4535
2020-06-26T20:00:00Z,46.569,1.008101,184.233355,-2.84995,7.6989,300.048
2020-06-26T21:00:00Z,56.8863,0.848802,22.3568,-4.6235429,134.425225,297.2695
2020-06-26T22:00:00Z,66.46045,0.317551,169.0181,-10.06966,-242.5985,294.7925
2020-06-26T23:00:00Z,73.76595,1.53848,68.77405,-6.2267005,190.493,293.1045
2020-06-27T00:00:00Z,81.34105,0.2930065,145.6931,-7.843155,-41.943375,291.7925
2020-06-27T01:00:00Z,83.0232,0.3262755,328.2675,-8.26352,-22.745,291.1575
2020-06-27T02:00:00Z,83.8485,0.302724,78.4046,-6.29574,14.68589,290.8195
2020-06-27T03:00:00Z,89.6678,0.4367205,162.215165,5.238515,3.9080155,289.375
2020-06-27T04:00:00Z,91.39065,0.4332425,34.2807,-1.322061,-44.72256,289.121
2020-06-27T05:00:00Z,92.24115,0.8629575,19.51447,6.478085,20.278965,288.512
2020-06-27T06:00:00Z,92.46685,2.030355,94.28165,40.38055,67.85655,288.9105
2020-06-27T07:00:00Z,78.53675,3.895805,126.711,94.63735,87.7375,292.717
2020-06-27T08:00:00Z,66.6849,3.4179,129.286,47.64215,61.81855,294.9135
2020-06-27T09:00:00Z,59.4366,3.02372,149.713,174.629,122.79535,296.837
2020-06-27T10:00:00Z,62.4706,3.260275,138.4775,136.287,96.6978,296.592
2020-06-27T11:00:00Z,60.18045,2.433525,152.636,213.2895,173.633,297.728
2020-06-27T12:00:00Z,57.83595,2.365315,117.264,326.6195,220.1945,298.7925
2020-06-27T13:00:00Z,56.27025,2.298335,124.351,121.08805,93.8793,299.334
2020-06-27T14:00:00Z,48.74565,3.262715,123.0485,-24.659,402.21785,301.286
2020-06-27T15:00:00Z,49.3079,2.94048,124.539,119.403,271.6225,300.992
2020-06-27T16:00:00Z,60.61725,3.762755,135.8465,76.5321,121.8719,297.9485
2020-06-27T17:00:00Z,55.00025,2.759715,130.6425,-7.509035,93.2323,300.097
2020-06-27T18:00:00Z,46.53255,2.67563,117.7305,-26.61775,61.5001,301.438
2020-06-27T19:00:00Z,53.45905,2.598655,115.3135,-31.7321,27.0136,300.215
2020-06-27T20:00:00Z,53.5405,2.20901,112.158,-22.62405,12.841375,299.919
2020-06-27T21:00:00Z,60.6339,1.693465,136.9795,-11.2875,9.68359,297.6595
2020-06-27T22:00:00Z,63.9603,1.90741,113.737,-9.606035,3.715995,295.992
2020-06-27T23:00:00Z,65.46015,1.68997,107.416,-4.46284,-0.00973749999999995,295.546
2020-06-28T00:00:00Z,73.58685,1.4882,114.3095,-2.228895,-0.537795,294.335
2020-06-28T01:00:00Z,77.7834,2.185695,116.7005,0.0263285,0.5293175,293.206
2020-06-28T02:00:00Z,80.9891,1.95415,111.5335,-2.028845,1.5799665,292.263
2020-06-28T03:00:00Z,84.8981,1.58214,69.71115,1.6548515,1.692981,291.095
2020-06-28T04:00:00Z,85.24065,2.20567,77.919,-11.18006,12.661015,291.0685
2020-06-28T05:00:00Z,86.5103,2.377635,86.8319,-21.7691,7.0346,290.5025
2020-06-28T06:00:00Z,83.41055,2.551535,100.76075,-8.524785,85.8558,291.8155
2020-06-28T07:00:00Z,77.22385,3.45563,110.1535,2.68121,71.5476,293.1465
2020-06-28T08:00:00Z,72.6252,4.42608,119.2605,145.312,139.58,294.464
2020-06-28T09:00:00Z,71.4697,4.33155,164.309,90.4321,135.86,294.83
2020-06-28T10:00:00Z,62.8518,2.53915,130.1985,7.84099,-119.39795,297.169
2020-06-28T11:00:00Z,72.89585,3.88169,190.348,20.64385,139.203,293.741
2020-06-28T12:00:00Z,83.10185,4.18449,199.7405,51.64225,170.8815,293.05
2020-06-28T13:00:00Z,72.0025,5.04699,187.7325,52.614,198.953,294.366
2020-06-28T14:00:00Z,68.7237,4.540495,177.036,45.2594,143.788,294.2455
2020-06-28T15:00:00Z,61.1631,3.68925,165.1725,1.58532,85.10075,293.4895
2020-06-28T16:00:00Z,56.8477,3.054535,143.3125,-6.189365,65.00425,293.29
2020-06-28T17:00:00Z,56.7345,3.019695,117.141,-8.760918,57.7742,292.283
2020-06-28T18:00:00Z,59.44095,2.790525,108.4135,-25.6143,35.82445,291.7325
2020-06-28T19:00:00Z,62.094,1.84548,100.33615,-11.82835,11.051335,291.798
2020-06-28T20:00:00Z,67.02335,1.93004,104.1813,-8.79099,6.2912,291.043
2020-06-28T21:00:00Z,73.78045,2.35485,106.787,-16.24516,3.16571,290.155
2020-06-28T22:00:00Z,78.73365,2.501425,107.7525,-18.3055,4.0925305,289.1825
2020-06-28T23:00:00Z,81.6374,2.30321,104.78565,-11.564175,-0.5225804,288.157
2020-06-29T00:00:00Z,84.9532,2.6304,111.4245,-22.54865,4.27607,287.1995
2020-06-29T01:00:00Z,86.5896,0.569428,115.0405,-0.21953,3.883396,286.5155
2020-06-29T02:00:00Z,86.74345,0.9200155,54.3559,1.289819,2.61341,286.3145
2020-06-29T03:00:00Z,89.38925,0.398351,124.505,-0.83799,-35.28058,285.211
2020-06-29T04:00:00Z,93.8041,0.6198755,203.88,11.63038,71.21405,283.7795
2020-06-29T05:00:00Z,95.0692,2.37947,125.9035,-13.7746,21.33925,283.647
2020-06-29T06:00:00Z,94.60435,2.16784,122.053,19.5555,44.4411,285.227
2020-06-29T07:00:00Z,85.75115,1.84188,115.2565,37.2755,63.19575,288.031
2020-06-29T08:00:00Z,78.24685,2.216195,98.80595,140.3148,136.91795,289.3385
2020-06-29T09:00:00Z,72.5615,1.697835,110.936,188.867,188.0225,290.1805
